,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539791107177734,49143.92387151718
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5155959129333496
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.141931056976
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.61269330978
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.909970760345459
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.46282720566
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.60167837143
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.121705532073975
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8128838539
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.13325071335
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.36348295211792
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.48329496384
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.4349384307861328
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.618040084839
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.89657211303711
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.02538204193
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.777081489563
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.7879056930542
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8772.002232551575
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.896124839782715
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.51629924774
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.666140556335
24,2019-10-31,BUY,NVDA,3061,5.050086498260498,269.3513693809509
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.482013225555
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.32210111618
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,186.70305967330933
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.6330523490906
29,2019-12-31,SELL,NVDA,11901,5.783753395080566,69989.08220720291
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70016.72887468338
31,2019-12-31,BUY,CSCO,1731,40.4477424621582,1.6866726875305176
